county,office,district,party,candidate,votes
Adams,President/Vice President,,,Howard Phillips,13
Adams,President/Vice President,,,Pat Buchanan,63
Adams,President/Vice President,,,Ralph Nader,162
Adams,President/Vice President,,D,Al Gore,3581
Adams,President/Vice President,,L,Harry Browne,20
Adams,President/Vice President,,N,John Hagelin,16
Adams,President/Vice President,,R,George Bush,6380
Adams,U.S. House,2,D,Charles Sanders,2618
Adams,U.S. House,2,L,Robert Bidwell,250
Adams,U.S. House,2,R,Rob Portman,6977
Adams,U.S. Senate,,D,Ted Celeste,2949
Adams,U.S. Senate,,L,John Mcalister,238
Adams,U.S. Senate,,N,John Eastman,187
Adams,U.S. Senate,,R,Mike Dewine,6508
Allen,President/Vice President,,,Howard Phillips,20
Allen,President/Vice President,,,Pat Buchanan,193
Allen,President/Vice President,,,Ralph Nader,760
Allen,President/Vice President,,D,Al Gore,13996
Allen,President/Vice President,,L,Harry Browne,134
Allen,President/Vice President,,N,John Hagelin,45
Allen,President/Vice President,,R,George Bush,28647
Allen,U.S. House,4,D,Daniel Dickman,11409
Allen,U.S. House,4,L,Ralph Mullinger,1295
Allen,U.S. House,4,R,Michael Oxley,30155
Allen,U.S. Senate,,,Michael Fitzsimmons,2
Allen,U.S. Senate,,,Patrick Flower,1
Allen,U.S. Senate,,D,Ted Celeste,11134
Allen,U.S. Senate,,L,John Mcalister,877
Allen,U.S. Senate,,N,John Eastman,619
Allen,U.S. Senate,,R,Mike Dewine,27926
Ashland,President/Vice President,,,Howard Phillips,23
Ashland,President/Vice President,,,Pat Buchanan,374
Ashland,President/Vice President,,,Ralph Nader,563
Ashland,President/Vice President,,D,Al Gore,6685
Ashland,President/Vice President,,L,Harry Browne,63
Ashland,President/Vice President,,N,John Hagelin,17
Ashland,President/Vice President,,R,George Bush,13533
Ashland,U.S. House,16,D,William Smith,4716
Ashland,U.S. House,16,L,Richard Shetler,696
Ashland,U.S. House,16,N,Brad Graef,257
Ashland,U.S. House,16,R,Ralph Regula,14497
Ashland,U.S. Senate,,D,Ted Celeste,4708
Ashland,U.S. Senate,,L,John Mcalister,601
Ashland,U.S. Senate,,N,John Eastman,263
Ashland,U.S. Senate,,R,Mike Dewine,14992
Ashtabula,President/Vice President,,,Howard Phillips,51
Ashtabula,President/Vice President,,,Pat Buchanan,338
Ashtabula,President/Vice President,,,Ralph Nader,1109
Ashtabula,President/Vice President,,D,Al Gore,19831
Ashtabula,President/Vice President,,L,Harry Browne,141
Ashtabula,President/Vice President,,N,John Hagelin,62
Ashtabula,President/Vice President,,R,George Bush,17940
Ashtabula,U.S. House,19,D,Dale Blanchard,11460
Ashtabula,U.S. House,19,L,Sid Stone,1377
Ashtabula,U.S. House,19,R,Steven Latourette,24983
Ashtabula,U.S. Senate,,D,Ted Celeste,14764
Ashtabula,U.S. Senate,,L,John Mcalister,1165
Ashtabula,U.S. Senate,,N,John Eastman,607
Ashtabula,U.S. Senate,,R,Mike Dewine,21628
Athens,President/Vice President,,,Howard Phillips,26
Athens,President/Vice President,,,Pat Buchanan,743
Athens,President/Vice President,,,Ralph Nader,1663
Athens,President/Vice President,,D,Al Gore,13158
Athens,President/Vice President,,L,Harry Browne,123
Athens,President/Vice President,,N,John Hagelin,31
Athens,President/Vice President,,R,George Bush,9703
Athens,U.S. House,6,D,Ted Strickland,17060
Athens,U.S. House,6,L,Kenneth Maccutcheon,784
Athens,U.S. House,6,R,Mike Azinger,6518
Athens,U.S. Senate,,,Patrick Flower,1
Athens,U.S. Senate,,D,Ted Celeste,11069
Athens,U.S. Senate,,L,John Mcalister,1190
Athens,U.S. Senate,,N,John Eastman,442
Athens,U.S. Senate,,R,Mike Dewine,11466
Auglaize,President/Vice President,,,Howard Phillips,19
Auglaize,President/Vice President,,,Pat Buchanan,104
Auglaize,President/Vice President,,,Ralph Nader,372
Auglaize,President/Vice President,,D,Al Gore,5564
Auglaize,President/Vice President,,L,Harry Browne,43
Auglaize,President/Vice President,,N,John Hagelin,20
Auglaize,President/Vice President,,R,George Bush,13770
Auglaize,U.S. House,4,D,Daniel Dickman,3067
Auglaize,U.S. House,4,L,Ralph Mullinger,418
Auglaize,U.S. House,4,R,Michael Oxley,10413
Auglaize,U.S. House,8,D,John Parks,1002
Auglaize,U.S. House,8,L,David Shock,117
Auglaize,U.S. House,8,R,John Boehner,4335
Auglaize,U.S. Senate,,,Michael Fitzsimmons,1
Auglaize,U.S. Senate,,D,Ted Celeste,4194
Auglaize,U.S. Senate,,L,John Mcalister,424
Auglaize,U.S. Senate,,N,John Eastman,289
Auglaize,U.S. Senate,,R,Mike Dewine,14578
Belmont,President/Vice President,,,Howard Phillips,32
Belmont,President/Vice President,,,Pat Buchanan,657
Belmont,President/Vice President,,,Ralph Nader,723
Belmont,President/Vice President,,D,Al Gore,15980
Belmont,President/Vice President,,L,Harry Browne,91
Belmont,President/Vice President,,N,John Hagelin,33
Belmont,President/Vice President,,R,George Bush,12625
Belmont,U.S. House,18,D,Marc Guthrie,10653
Belmont,U.S. House,18,L,"John Bargar, Sr.",393
Belmont,U.S. House,18,R,Bob Ney,19047
Belmont,U.S. Senate,,D,Ted Celeste,14176
Belmont,U.S. Senate,,L,John Mcalister,726
Belmont,U.S. Senate,,N,John Eastman,429
Belmont,U.S. Senate,,R,Mike Dewine,13467
Brown,President/Vice President,,,Howard Phillips,13
Brown,President/Vice President,,,Pat Buchanan,83
Brown,President/Vice President,,,Ralph Nader,269
Brown,President/Vice President,,D,Al Gore,5972
Brown,President/Vice President,,L,Harry Browne,49
Brown,President/Vice President,,N,John Hagelin,16
Brown,President/Vice President,,R,George Bush,10027
Brown,U.S. House,2,D,Charles Sanders,4177
Brown,U.S. House,2,L,Robert Bidwell,426
Brown,U.S. House,2,R,Rob Portman,11178
Brown,U.S. Senate,,D,Ted Celeste,4755
Brown,U.S. Senate,,L,John Mcalister,382
Brown,U.S. Senate,,N,John Eastman,260
Brown,U.S. Senate,,R,Mike Dewine,10467
Butler,President/Vice President,,,Howard Phillips,90
Butler,President/Vice President,,,Pat Buchanan,431
Butler,President/Vice President,,,Ralph Nader,2708
Butler,President/Vice President,,D,Al Gore,46390
Butler,President/Vice President,,L,Harry Browne,427
Butler,President/Vice President,,N,John Hagelin,104
Butler,President/Vice President,,R,George Bush,86587
Butler,U.S. House,8,D,John Parks,36509
Butler,U.S. House,8,L,David Shock,3640
Butler,U.S. House,8,R,John Boehner,90309
Butler,U.S. Senate,,,Michael Fitzsimmons,1
Butler,U.S. Senate,,,Patrick Flower,2
Butler,U.S. Senate,,D,Ted Celeste,34748
Butler,U.S. Senate,,L,John Mcalister,3465
Butler,U.S. Senate,,N,John Eastman,1862
Butler,U.S. Senate,,R,Mike Dewine,91886
Carroll,President/Vice President,,,Howard Phillips,21
Carroll,President/Vice President,,,Pat Buchanan,207
Carroll,President/Vice President,,,Ralph Nader,271
Carroll,President/Vice President,,D,Al Gore,4960
Carroll,President/Vice President,,L,Harry Browne,39
Carroll,President/Vice President,,N,John Hagelin,31
Carroll,President/Vice President,,R,George Bush,6732
Carroll,U.S. House,18,D,Marc Guthrie,3488
Carroll,U.S. House,18,L,"John Bargar, Sr.",307
Carroll,U.S. House,18,R,Bob Ney,8126
Carroll,U.S. Senate,,D,Ted Celeste,3833
Carroll,U.S. Senate,,L,John Mcalister,328
Carroll,U.S. Senate,,N,John Eastman,231
Carroll,U.S. Senate,,R,Mike Dewine,7525
Champaign,President/Vice President,,,Howard Phillips,12
Champaign,President/Vice President,,,Pat Buchanan,80
Champaign,President/Vice President,,,Ralph Nader,346
Champaign,President/Vice President,,D,Al Gore,5955
Champaign,President/Vice President,,L,Harry Browne,43
Champaign,President/Vice President,,N,John Hagelin,24
Champaign,President/Vice President,,R,George Bush,9220
Champaign,U.S. House,7,D,Donald Minor,3460
Champaign,U.S. House,7,I,John Mitchell,1133
Champaign,U.S. House,7,L,Jack Null,244
Champaign,U.S. House,7,R,Dave Hobson,10265
Champaign,U.S. Senate,,D,Ted Celeste,5299
Champaign,U.S. Senate,,L,John Mcalister,861
Champaign,U.S. Senate,,N,John Eastman,548
Champaign,U.S. Senate,,R,Mike Dewine,8497
Clark,President/Vice President,,,Howard Phillips,51
Clark,President/Vice President,,,Pat Buchanan,221
Clark,President/Vice President,,,Ralph Nader,1347
Clark,President/Vice President,,D,Al Gore,27984
Clark,President/Vice President,,L,Harry Browne,202
Clark,President/Vice President,,N,John Hagelin,94
Clark,President/Vice President,,R,George Bush,27660
Clark,U.S. House,7,D,Donald Minor,15660
Clark,U.S. House,7,I,John Mitchell,2481
Clark,U.S. House,7,L,Jack Null,789
Clark,U.S. House,7,R,Dave Hobson,36942
Clark,U.S. Senate,,D,Ted Celeste,19508
Clark,U.S. Senate,,L,John Mcalister,1556
Clark,U.S. Senate,,N,John Eastman,1208
Clark,U.S. Senate,,R,Mike Dewine,34297
Clermont,President/Vice President,,,Howard Phillips,25
Clermont,President/Vice President,,,Pat Buchanan,178
Clermont,President/Vice President,,,Ralph Nader,1303
Clermont,President/Vice President,,D,Al Gore,20927
Clermont,President/Vice President,,L,Harry Browne,225
Clermont,President/Vice President,,N,John Hagelin,90
Clermont,President/Vice President,,R,George Bush,47129
Clermont,U.S. House,2,D,Charles Sanders,15644
Clermont,U.S. House,2,L,Robert Bidwell,2259
Clermont,U.S. House,2,R,Rob Portman,50524
Clermont,U.S. Senate,,,Michael Fitzsimmons,3
Clermont,U.S. Senate,,,Patrick Flower,1
Clermont,U.S. Senate,,D,Ted Celeste,16167
Clermont,U.S. Senate,,L,John Mcalister,1952
Clermont,U.S. Senate,,N,John Eastman,1060
Clermont,U.S. Senate,,R,Mike Dewine,49325
Clinton,President/Vice President,,,Howard Phillips,16
Clinton,President/Vice President,,,Pat Buchanan,50
Clinton,President/Vice President,,,Ralph Nader,325
Clinton,President/Vice President,,D,Al Gore,4791
Clinton,President/Vice President,,L,Harry Browne,48
Clinton,President/Vice President,,N,John Hagelin,16
Clinton,President/Vice President,,R,George Bush,9824
Clinton,U.S. House,6,D,Ted Strickland,6950
Clinton,U.S. House,6,L,Kenneth Maccutcheon,296
Clinton,U.S. House,6,R,Mike Azinger,7426
Clinton,U.S. Senate,,D,Ted Celeste,3293
Clinton,U.S. Senate,,L,John Mcalister,449
Clinton,U.S. Senate,,N,John Eastman,236
Clinton,U.S. Senate,,R,Mike Dewine,10688
